"ID";"Footprint";"case";"count";"value";"supplier";"order-number";
1;"R164";"R_0603_1608Metric";1;"10";;;
2;"R155,R125";"R_0603_1608Metric";2;"4.7k";;;
3;"R136";"R_0603_1608Metric";1;"R";;;
4;"R131";"R_0805_2012Metric";1;"100";;;
5;"R130,R129";"R_2512_6332Metric";2;"0";;;
6;"R128";"R_0805_2012Metric";1;"200";;;
7;"R127";"R_0805_2012Metric";1;"26.1k";;;
8;"R126";"R_0805_2012Metric";1;"10k";;;
9;"Q3";"SOT-23";1;"MMBT3904";;;
10;"Q2";"TO-220-3_Vertical";1;"2SK1308";;;
11;"CR9";"SOT-89-3";1;"TL431PK";;;
12;"C165,C159";"CP_EIA-7343";2;"100µF";;;
13;"C145";"CP_EIA-3528";1;"10µF";;;
14;"C136";"C_0603_1608Metric";1;"C";;;
15;"C128";"C_0603_1608Metric";1;"470pf";;;
